,Batsman_Name,Over,Bowler_Name,Batsman_country,Bowler_country,Host_country,Type_of_Match,Score,Run_rate,Match_time,Type_of_pitch,Type_of_Bowler,Type_of_Batsman,Bowling_area,Batting_area,Wickets,Result
0,Shikhar Dhawan,0.1,Morne Morkel,India,South Africa,South Africa,ODI,0,0,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,short of a length outside off,leave,0,0
1,Shikhar Dhawan,0.2,Morne Morkel,India,South Africa,South Africa,ODI,0,0,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,short of a length outside off,,0,0
2,Shikhar Dhawan,0.3,Morne Morkel,India,South Africa,South Africa,ODI,0,0,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,length ball outside off,,0,0
3,Shikhar Dhawan,0.4,Morne Morkel,India,South Africa,South Africa,ODI,0,0,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,short of a length on stump,to the bowler,0,0
4,Shikhar Dhawan,0.5,Morne Morkel,India,South Africa,South Africa,ODI,0,0,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,length ball outside off,,0,0
5,Shikhar Dhawan,0.6,Morne Morkel,India,South Africa,South Africa,ODI,0,0,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,fuller delivery,cover,0,0
6,Rohit Sharma,1.1,Kagiso Rabada,India,South Africa,South Africa,ODI,0,0,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short of a length off stump,mid-wicket,0,0
7,Rohit Sharma,1.2,Kagiso Rabada,India,South Africa,South Africa,ODI,0,0,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,outside off,,0,0
8,Rohit Sharma,1.3,Kagiso Rabada,India,South Africa,South Africa,ODI,0,0,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,length ball outside off,,0,0
9,Rohit Sharma,1.4,Kagiso Rabada,India,South Africa,South Africa,ODI,1,0.6,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,straighter delivery off stump,fine leg,0,1
10,Shikhar Dhawan,1.5,Kagiso Rabada,India,South Africa,South Africa,ODI,1,0.54,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,length ball off stump,off-side,0,0
11,Shikhar Dhawan,1.6,Kagiso Rabada,India,South Africa,South Africa,ODI,5,2.5,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,length ball outside off,cover,0,4
12,Rohit Sharma,2.1,Morne Morkel,India,South Africa,South Africa,ODI,5,2.3,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,fuller delivery,leave,0,0
13,Rohit Sharma,2.2,Morne Morkel,India,South Africa,South Africa,ODI,5,2.14,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,straighter delivery,defend,0,0
14,Rohit Sharma,2.3,Morne Morkel,India,South Africa,South Africa,ODI,5,2,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,fuller delivery,defend,0,0
15,Rohit Sharma,2.4,Morne Morkel,India,South Africa,South Africa,ODI,5,1.87,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,point,0,0
16,Rohit Sharma,2.5,Morne Morkel,India,South Africa,South Africa,ODI,5,1.76,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,straighter delivery,to the bowler,0,0
17,Rohit Sharma,2.6,Morne Morkel,India,South Africa,South Africa,ODI,5,1.66,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,off stump,defend,0,0
18,Shikhar Dhawan,3.1,Kagiso Rabada,India,South Africa,South Africa,ODI,5,1.57,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,short,point,0,0
19,Shikhar Dhawan,3.2,Kagiso Rabada,India,South Africa,South Africa,ODI,5,1.5,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,short of a length,cover,0,0
20,Shikhar Dhawan,3.3,Kagiso Rabada,India,South Africa,South Africa,ODI,9,2.57,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,short ball,square,0,4
21,Shikhar Dhawan,3.4,Kagiso Rabada,India,South Africa,South Africa,ODI,9,2.45,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,fuller delivery,cover,0,0
22,Shikhar Dhawan,3.5,Kagiso Rabada,India,South Africa,South Africa,ODI,13,3.39,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,bounce,cover,0,4
23,Shikhar Dhawan,3.6,Kagiso Rabada,India,South Africa,South Africa,ODI,13,3.25,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,fuller delivery,cover,0,0
24,Rohit Sharma,4.1,Morne Morkel,India,South Africa,South Africa,ODI,13,3.12,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,length ball off stump,mid-off,0,0
25,Rohit Sharma,4.2,Morne Morkel,India,South Africa,South Africa,ODI,13,3,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short of a length outside off,,0,0
26,Rohit Sharma,4.3,Morne Morkel,India,South Africa,South Africa,ODI,13,2.88,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,outside off,,0,0
27,Rohit Sharma,4.4,Morne Morkel,India,South Africa,South Africa,ODI,13,2.78,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short of a length off stump,mid-wicket,0,0
28,Rohit Sharma,4.5,Morne Morkel,India,South Africa,South Africa,ODI,13,2.68,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,cover,0,0
29,Rohit Sharma,4.6,Morne Morkel,India,South Africa,South Africa,ODI,17,3.4,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,point,0,4
30,Shikhar Dhawan,5.1,Kagiso Rabada,India,South Africa,South Africa,ODI,21,4.06,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,fuller delivery,long-off,0,4
31,Shikhar Dhawan,5.2,Kagiso Rabada,India,South Africa,South Africa,ODI,22,4.12,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,short ball,third man,0,1
32,Rohit Sharma,5.3,Kagiso Rabada,India,South Africa,South Africa,ODI,22,4,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short of a length,,0,0
33,Rohit Sharma,5.4,Kagiso Rabada,India,South Africa,South Africa,ODI,28,4.94,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short of a length off stump,long-on,0,6
34,Rohit Sharma,5.5,Kagiso Rabada,India,South Africa,South Africa,ODI,28,4.8,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,outside off,cover,0,0
35,Rohit Sharma,5.6,Kagiso Rabada,India,South Africa,South Africa,ODI,30,5,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,length ball,deep square leg,0,2
36,Shikhar Dhawan,6.1,Morne Morkel,India,South Africa,South Africa,ODI,34,5.51,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,length ball outside off,mid-off,0,4
37,Shikhar Dhawan,6.2,Morne Morkel,India,South Africa,South Africa,ODI,38,6,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,short ball,fine leg,0,4
38,Shikhar Dhawan,6.3,Morne Morkel,India,South Africa,South Africa,ODI,38,5.84,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,fuller delivery,,0,0
39,Shikhar Dhawan,6.4,Morne Morkel,India,South Africa,South Africa,ODI,42,6.3,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,short and wide,point,0,4
40,Shikhar Dhawan,6.5,Morne Morkel,India,South Africa,South Africa,ODI,43,6.29,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,bounce,third man,0,1
41,Rohit Sharma,6.6,Morne Morkel,India,South Africa,South Africa,ODI,43,6.14,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,point,0,0
42,Shikhar Dhawan,7,Kagiso Rabada,India,South Africa,South Africa,ODI,44,6.28,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,short,,0,1
43,Shikhar Dhawan,7.1,Kagiso Rabada,India,South Africa,South Africa,ODI,48,6.69,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,bounce,gully,0,4
44,Shikhar Dhawan,7.2,Kagiso Rabada,India,South Africa,South Africa,ODI,48,6.54,Day/Night,Flat/Cloudy,Right_arm_fast,Left_Hand_Batsman,straighter delivery on stump,caught,1,-1
45,Virat Kohli,7.3,Kagiso Rabada,India,South Africa,South Africa,ODI,48,6.4,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,fuller delivery,square,1,0
46,Virat Kohli,7.4,Kagiso Rabada,India,South Africa,South Africa,ODI,52,6.78,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,length ball off stump,,1,4
47,Virat Kohli,7.5,Kagiso Rabada,India,South Africa,South Africa,ODI,52,6.63,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,fuller delivery,mid-on,1,0
48,Virat Kohli,7.6,Kagiso Rabada,India,South Africa,South Africa,ODI,52,6.5,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short of a length off stump,square,1,0
49,Rohit Sharma,8.1,Morne Morkel,India,South Africa,South Africa,ODI,56,6.85,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,off-side,1,4
50,Rohit Sharma,8.2,Morne Morkel,India,South Africa,South Africa,ODI,56,6.72,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,defend,1,0
51,Rohit Sharma,8.3,Morne Morkel,India,South Africa,South Africa,ODI,56,6.58,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short ball,point,1,0
52,Rohit Sharma,8.4,Morne Morkel,India,South Africa,South Africa,ODI,56,6.46,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short of a length outside off,square,1,0
